#,Browser,Page,Field,isPresent,Value,Size,Location
01,Msedge,index.php,First Name,true,Dima,(386x40),(314x182)
02,Msedge,index.php,Last Name,true,Slzhou,(386x40),(739x182)
03,Msedge,index.php,Email,true,dima@gmail.com,(386x40),(314x262)
04,Msedge,index.php,Phone,true,444 555-6666,(386x40),(739x262)
05,Msedge,index.php,Gender,true,Male,(19x20),(326x357)
06,Msedge,index.php,State,true,null,(342x42),(739x342)
07,Msedge,index.php,Terms,true,Agreed,(19x20),(314x424)
8,Msedge,index.php,gender_male_id,true,Male,(19x20),(326x357)
9,Msedge,index.php,gender_female_id,true,Female,(19x20),(505x357)
11,Msedge,index.php,quotes_id,true,null,(1424x20),(8x48)
12,Msedge,index.php,sighn_in_id,true,Sign Up,(151x44),(314x87)
13,Msedge,index.php,id_current_location,true,Burlingame, CA,(149x24),(938x70)
14,Msedge,index.php,id_weather_icon,true,null,(50x50),(937x95)
15,Msedge,index.php,id_temperature,true,61 ℉,(72x40),(1015x100)
16,Msedge,index.php,first_name,true,First Name,(104x24),(314x154)
17,Msedge,index.php,error_name,true,,(20x11),(698x218)
18,Msedge,index.php,last_name,true,Last Name,(103x24),(740x154)
19,Msedge,index.php,lname_error,true,,(20x11),(1122x218)
20,Msedge,index.php,email_address,true,Email Address,(136x24),(310x234)
21,Msedge,index.php,email_err,true,,(20x11),(696x298)
22,Msedge,index.php,phone_number,true,Phone Number,(143x24),(736x234)
23,Msedge,index.php,phone_error,true,,(20x11),(1122x298)
24,Msedge,index.php,gender_switch,true,Gender,(71x24),(312x311)
25,Msedge,index.php,gender_male_selected,true,Male,(44x23),(355x356)
26,Msedge,index.php,gender_female_selected,true,Female,(66x23),(534x356)
27,Msedge,index.php,state_span,true,State,(50x24),(736x314)
28,Msedge,index.php,tems_checkbox,true,I agree to the Terms,(231x30),(340x417)
29,Msedge,index.php,error_line,true,null,null,null
30,Msedge,index.php,id_link_facebook,true,null,(60x17),(310x528)
31,Msedge,index.php,id_link_twitter,true,null,(60x17),(375x528)
32,Msedge,index.php,id_link_flickr,true,null,(60x17),(441x528)
33,Msedge,index.php,id_link_youtube,true,null,(60x17),(506x528)
34,Msedge,index.php,reset_button,true,Reset,(102x35),(748x498)
35,Msedge,index.php,timestamp,true,null,(290x24),(295x555)
36,Msedge,index.php,youtube_img,true,null,(60x60),(506x482)
37,Msedge,index.php,os_browser,true,null,(310x24),(835x555)
38,Msedge,index.php,facebook_img,true,null,(60x60),(310x482)
39,Msedge,index.php,twitter_img,true,null,(60x60),(375x482)
40,Msedge,index.php,flick_img,true,null,(60x60),(441x482)
Confirmation Page &&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&41,Msedge,confirmation.php,First Name,true,Dima,(71x40),(321x182)
42,Msedge,confirmation.php,Last Name,true,Slzhou,(90x40),(746x182)
43,Msedge,confirmation.php,Email,true,dima@gmail.com,(211x40),(321x266)
44,Msedge,confirmation.php,Phone,true,444 555-6666,(170x40),(746x266)
45,Msedge,confirmation.php,Gender,true,Male,(66x40),(321x350)
46,Msedge,confirmation.php,State,true,California,(120x40),(746x350)
47,Msedge,confirmation.php,Terms,true,,(10x40),(321x434)
48,Msedge,confirmation.php,gender_lable_conf,true,Gender,(71x24),(321x325)
49,Msedge,confirmation.php,id_gender_conf,true,Male,(66x40),(321x350)
50,Msedge,confirmation.php,state_lable_conf,true,State,(50x24),(746x325)
51,Msedge,confirmation.php,terms_comf,true,Terms?,(70x24),(321x409)
52,Msedge,confirmation.php,terms_checked_conf,true,,(10x40),(321x434)
53,Msedge,confirmation.php,id_back_button_conf,true,Back,(118x35),(746x501)
54,Msedge,confirmation.php,copyright_conf,true,null,(230x24),(605x558)
55,Msedge,confirmation.php,id_f_title_conf,true,Confirmation,(249x44),(320x77)
56,Msedge,confirmation.php,state_lable_conf,true,State,(50x24),(746x325)
57,Msedge,confirmation.php,state,true,California,(120x40),(746x350)
