#,Browser,Page,Field,isPresent,Value,Size,Location
01,Safari,index.php,First Name,true,Dima,(387x40),(0x0)
02,Safari,index.php,Last Name,true,Slzhou,(387x40),(0x0)
03,Safari,index.php,Email,true,dima@gmail.com,(387x40),(0x0)
04,Safari,index.php,Phone,true,444 555-6666,(387x40),(0x0)
05,Safari,index.php,Gender,true,Male,(20x21),(0x0)
06,Safari,index.php,State,true,null,(349x33),(0x0)
07,Safari,index.php,Terms,true,Agreed,(20x20),(0x0)
8,Safari,index.php,gender_male_id,true,Male,(20x21),(0x0)
9,Safari,index.php,gender_female_id,true,Female,(20x21),(0x0)
11,Safari,index.php,quotes_id,true,null,(1424x20),(0x0)
12,Safari,index.php,sighn_in_id,true,Sign Up,(152x44),(0x0)
13,Safari,index.php,id_current_location,true,Burlingame, CA,(148x24),(0x0)
14,Safari,index.php,id_weather_icon,true,null,(51x51),(0x0)
15,Safari,index.php,id_temperature,true,61 ℉,(73x41),(0x0)
16,Safari,index.php,first_name,true,First Name,(104x23),(0x0)
17,Safari,index.php,error_name,true,,(21x11),(0x0)
18,Safari,index.php,last_name,true,Last Name,(103x23),(0x0)
19,Safari,index.php,lname_error,true,,(21x11),(0x0)
20,Safari,index.php,email_address,true,Email Address,(136x23),(0x0)
21,Safari,index.php,email_err,true,,(21x11),(0x0)
22,Safari,index.php,phone_number,true,Phone Number,(142x23),(0x0)
23,Safari,index.php,phone_error,true,,(21x11),(0x0)
24,Safari,index.php,gender_switch,true,Gender,(71x23),(0x0)
25,Safari,index.php,gender_male_selected,true,Male,(45x24),(0x0)
26,Safari,index.php,gender_female_selected,true,Female,(67x24),(0x0)
27,Safari,index.php,state_span,true,State,(50x23),(0x0)
28,Safari,index.php,tems_checkbox,true,I agree to the Terms,(232x30),(0x0)
29,Safari,index.php,error_line,true,null,null,(0x0)
30,Safari,index.php,id_link_facebook,true,null,(61x17),(0x0)
31,Safari,index.php,id_link_twitter,true,null,(61x17),(0x0)
32,Safari,index.php,id_link_flickr,true,null,(61x17),(0x0)
33,Safari,index.php,id_link_youtube,true,null,(61x17),(0x0)
34,Safari,index.php,reset_button,true,Reset,(103x35),(0x0)
35,Safari,index.php,timestamp,true,null,(290x24),(0x0)
36,Safari,index.php,youtube_img,true,null,(61x60),(0x0)
37,Safari,index.php,os_browser,true,null,(310x24),(0x0)
38,Safari,index.php,facebook_img,true,null,(61x60),(0x0)
39,Safari,index.php,twitter_img,true,null,(61x60),(0x0)
40,Safari,index.php,flick_img,true,null,(61x60),(0x0)
Confirmation Page &&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&41,Safari,confirmation.php,First Name,true,Dima,(71x40),(0x0)
42,Safari,confirmation.php,Last Name,true,Slzhou,(90x40),(0x0)
43,Safari,confirmation.php,Email,true,dima@gmail.com,(212x40),(0x0)
44,Safari,confirmation.php,Phone,true,444 555-6666,(171x40),(0x0)
45,Safari,confirmation.php,Gender,true,Male,(67x40),(0x0)
46,Safari,confirmation.php,State,true,California,(120x40),(0x0)
47,Safari,confirmation.php,Terms,true,,(10x40),(0x0)
48,Safari,confirmation.php,gender_lable_conf,true,Gender,(71x23),(0x0)
49,Safari,confirmation.php,id_gender_conf,true,Male,(67x40),(0x0)
50,Safari,confirmation.php,state_lable_conf,true,State,(50x23),(0x0)
51,Safari,confirmation.php,terms_comf,true,Terms?,(69x23),(0x0)
52,Safari,confirmation.php,terms_checked_conf,true,,(10x40),(0x0)
53,Safari,confirmation.php,id_back_button_conf,true,Back,(119x35),(0x0)
54,Safari,confirmation.php,copyright_conf,true,null,(230x24),(0x0)
55,Safari,confirmation.php,id_f_title_conf,true,Confirmation,(249x44),(0x0)
56,Safari,confirmation.php,state_lable_conf,true,State,(50x23),(0x0)
57,Safari,confirmation.php,state,true,California,(120x40),(0x0)
